country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Togo,,,,,,,,,,,,,,,,,,,,,1.99,,,1.92
Thailand,,,,,,,,,,,,,,,,,,,,,7.08,,,7.08
Tajikistan,,,,,,,,,,,,,,,,,,,,,3.39,,,3.39
Turkmenistan,,,,,,,,,,,,,,,,,,,,,4.63,,,5
Timor-Leste,,,,,,,,,,,,,,,,,,,,,0.86,,,0.74
Tonga,,,,,,,,,,,,,,,,,,,,,3.78,,,3.92
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,6.28,,,6.16
Tunisia,,,,,,,,,,,,,,,,,,,,,1.29,,,1.05
Turkey,,,,,,,,,,,,,,,,,,,,,2.87,,,3.02
Tuvalu,,,,,,,,,,,,,,,,,,,,,2.44,,,2.14
Tanzania,,,,,,,,,,,,,,,,,,,,,6.75,,,7.86
Uganda,,,,,,,,,,,,,,,,,,,,,11.9,,,16.4
Ukraine,,,,,,,,,13,,,,,,,,,,,,15.6,,,17.5
Uruguay,,,,,,,,,,,,,,,,,,,,,8.14,,,8.99
United States,,,,,,,,,,,,,,,,,,,,,9.44,,,9.7
Uzbekistan,,,,,,,,,,,,,,,,,,,,,3.54,,,3.61
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,5.44,,,4.99
Venezuela,,,,,,,,,,,,,,,,,,,,,8.23,,,7.6
Vietnam,,,,,,,,,,,,,,,,,,,,,3.77,,,3.91
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.93,,,0.96
Samoa,,,,,,,,,,,,,,,,,,,,,4.8,,,4.51
Yemen,,,,,,,,,,,,,,,,,,,,,0.2,,,0.2
South Africa,,,,,,,,,,,10,,,,,,,,,,9.46,,,10.2
Zambia,,,,,,,,,,,,,,,,,,,,,3.85,,,3.56
Zimbabwe,,,,,,,,,,,,,,,,,,,,,5.08,,,4.96
